customer_id,age,gender,city,county,signup_date,last_purchase_date,tenure_months,monthly_charges,total_charges,plan_type,payment_method,contract,num_support_tickets,has_internet,data_usage_gb,is_senior_citizen,dependents,device_model,referrer,feedback_text,churn
CUST000001,40.0,Other,Nakuru,Nakuru,6/24/2024,7/24/2024,14.0,569.75, ,Unknown,Credit card,Month-to-month,1.0,0,26.35,1,No,Vivo A41,Friend,Please call me back.,Yes
CUST000002,17.0,F,Kisumu,Nakuru,21-Mar-19,16-Feb-21,78.0,"1,542.70","120,186.63",Standard,Cash,Month-to-month,4.0,Yes,33.11,1,no,Vivo A30,Billboard,App keeps logging me out.,No
CUST000003,33.0,M,Unknown,Unknown,3/4/2020,22-Oct-20,66.0,728.27,Unknown,Basic,Mpesa,Two year,2.0,Yes,961.82,0,No,Oppo Y82,Twitter/X,"Stable internet, happy so far.",No
CUST000004,38.0,F,Nairobi ,Uasin Gishu,26/01/2023,2/2/2023,31.0,901.57,28195.03,Basic,Mpesa,Month-to-month,3.0,TRUE,79.47,0,no,Apple A12,Unknown,Customer care took long to respond.,Yes
CUST000005,20.0,F,Nairobi ,Uasin Gishu,13/06/2022,12/30/2022,39.0,2010.12,78564.16,Premium,M-Pesa,Month-to-month,3.0,Yes,79.03,1,No,Nokia C47,Radio,Sawa kabisa!,No
CUST000006,71.0,male,Unknown,Unknown,9/7/2021,15-Jul-24,48.0,1169.49,Unknown,Standard,Bank transfer,1-yr,2.0,No,0.0,No,Yes,Samsung S14,Unknown,Support was helpful via M-Pesa reversal.,Yes
CUST000007,34.0,Female,Nakuru,Kisumu,8/26/2019,1/29/2020,73.0,921.01,66972.15,Basic,Cash,Month-to-month,0.0,0,0.0,1,No,Samsung S29,Radio,Switching from competitor soon.,No
CUST000008,11.0,male,Nyeri,Kisumu,9/13/2021,9/15/2021,48.0,3773.36,180702.52,Premium,Unknown,One year,7.0,1,55.45,1,yes,Huawei Note11,Unknown,Network drops sometimes in the evening.,No
CUST000009,34.0,Female,Nakuru,Uasin Gishu,12-May-25,17/04/2025,3.0,875.44,2858.71,Basic,Mpesa,Month-to-month,1.0,0,0.0,No,No,Vivo Y29,Unknown,Please call me back.,No
CUST000010,42.0,Other,Machakos,Machakos,11/19/2019,20-Jul-20,70.0,3973.28,277985.91,Premium,Cash,Month-to-month,1.0,Y,53.6,1,No,Huawei A59,X,Support was helpful via M-Pesa reversal.,No
CUST000011,43.0,F,Meru,Unknown,12/17/2019,5/17/2021,39.0,640.48,Unknown,Basic,M-Pesa,Month-to-month,2.0,FALSE,0.0,Yes,Yes,Xiaomi A30,Billboard,Network drops sometimes in the evening.,No
CUST000012,20.0,Female,Nairobi,Meru,13-Jun-24,14/05/2026,14.0,878.54,"12,125.14",Basic,Cash,Month-to-month,1.0,N,26.35,Yes,No,Samsung S14,X,Customer care took long to respond.,No
CUST000013,26.0,F,Nairobi ,Kisumu,10/11/2019,4/1/2020,71.0,1341.56,95154.49,Standard,Bank transfer,Month-to-month,4.0,Y,44.09,0,No,Xiaomi S9,Facebook,Unknown,No
CUST000014,25.0,female,Unknown,Nakuru,12/21/2024,22/09/2025,8.0,1107.17, ,Standard,Cash,One year,1.0,0,0.0,0,no,Xiaomi A49,Unknown,"Stable internet, happy so far.",No
CUST000015,30.0,Female,Naivasha,Uasin Gishu,30/05/2020,31/05/2020,64.0,2224.08,142196.32,Premium,Cash,Two year,2.0,N,26.35,No,Yes,Realme Y41,Unknown,"Stable internet, happy so far.",No
CUST000016,28.0,Female,Mombasa,Mombasa,6/9/2020,5/7/2021,63.0,1574.47,99209.49,Standard,Mpesa,Two year,2.0,Yes,44.98,No,yes,Oppo S69,Google,Great service!,Yes
CUST000017,57.0,female,Nakuru,Meru,30/04/2024,12-Mar-25,16.0,1536.48,24401.85,Standard,M-Pesa,One year,1.0,0,0.0,Yes,yes,Infinix C70,Twitter/X,Switching from competitor soon.,No
CUST000018,31.0,F,Niarobi,Uasin Gishu,3/1/2025,3/4/2025,6.0,1332.15,7833.6,Standard,Cash,Month-to-month,4.0,FALSE,0.0,No,yes,Tecno Note5,Friend,Switching from competitor soon.,Yes
CUST000019,42.0,Male,Niarobi,Nakuru,7/11/2020,11/24/2020,58.0,857.03,50000.82,Basic,Mpesa,Month-to-month,0.0,No,0.0,1,No,Samsung A76,Facebook,Switching from competitor soon....,Yes
CUST000020,36.0,Other,Nrb,Nakuru,12/1/2024,19/09/2026,9.0,946.34,8205.73,Basic,MPesa,Unknown,1.0,N,26.35,0,No,Tecno Y78,Google,Great service!,No
CUST000021,42.0,M,Machakos,Mombasa,9/30/2023,10/3/2023,23.0,816.55,18651.41,Basic,M-Pesa,One year,2.0,Y,14.28,0,yes,Infinix Note44,Unknown,"Stable internet, happy so far.",Yes
CUST000022,25.0,F,Naivasha,Mombasa,17/05/2021,22/09/2021,52.0,1917.31,99886.02,Standard,M-Pesa,One year,4.0,TRUE,51.5,No,No,Oppo S60,TV,Customer care took long to respond. ASAP,No
CUST000023,36.0,Other,Niarobi,Mombasa,3/4/2021,10/26/2021,53.0,"KES 1,885.98",Unknown,Standard,Mpesa,One year,5.0,Y,59.27,No,yes,Vivo A28,Unknown,Great service!,No
CUST000024,28.0,female,Nairobi,Nyeri,30-Jun-22,10/7/2022,38.0,915.32,34793.02,Basic,Cash,Two year,2.0,Yes,48.8,1,Yes,Tecno S30,Twitter/X,Unknown,Yes
CUST000025,20.0,F,Nrb,Meru,6/23/2023,21/01/2024,26.0,771.89,20275.23,Basic,Unknown,Month-to-month,1.0,0,0.0,1,no,Apple Note13,Unknown,Customer care took long to respond....,Yes
CUST000026,53.0,male,Nairobi,Nakuru,11/30/2023,6/18/2024,21.0,"KES 1,067.84",Unknown,Standard,MPesa,One year,4.0,TRUE,14.3,0,No,Tecno S30,Unknown,Network drops sometimes in the evening.,No
CUST000027,20.0,F,Niarobi,Kisumu,20-Oct-24,21/11/2024,10.0,1868.12,Unknown,Standard,M-Pesa,Month-to-month,1.0,TRUE,45.55,No,Unknown,Apple Y34,Friend,NA (pls),No
CUST000028,39.0,female,Mombasa,Nakuru,10/5/2020,5/5/2020,64.0,1102.79, ,Standard,Bank transfer,1-yr,2.0,No,0.0,1,No,Infinix P1,Unknown,Please call me back.,No
