customer_id,age,county,signup_date,last_purchase_date,tenure_months,monthly_charges,total_charges,num_support_tickets,has_internet,data_usage_gb,is_senior_citizen,dependents,device_model,referrer,feedback_text,churn,gender_Male,gender_Unknown,city_Kisumu,city_Machakos,city_Meru,city_Mombasa,city_Nairobi,city_Nairobi ,city_Naivasha,city_Nakuru,city_Nyeri,city_Thika,city_Unknown,plan_type_Premium,plan_type_Standard,plan_type_Unknown,plan_type_basic,payment_method_Cash,payment_method_Credit card,payment_method_M-Pesa,payment_method_M-pesa,payment_method_MPesa,payment_method_Unknown,contract_one year,contract_two year,contract_unknown,lifetime_value,expected_total,total_expected_diff,total_expected_pct_diff,is_total_mismatch,log_monthly_charges,log_total_charges,monthly_charges_yj,total_charges_yj
CUST000001,40.0,Nakuru,6/24/2024,7/24/2024,14.0,569.75,40709.825,1.0,0,26.1,1,0.0,Vivo A41,Friend,Please call me back.,Yes,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,7976.5,7976.5,32733.324999999997,4.103720303390697,1,6.346951285409905,10.614249306582769,-1.6765264832295583,-0.027094493839585277
CUST000002,17.0,Nakuru,21-Mar-19,16-Feb-21,78.0,1542.7,120186.63,4.0,1,33.11,1,0.0,Vivo A30,Billboard,App keeps logging me out.,No,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,120330.6,120330.6,-143.97000000000116,0.0011964537698640242,0,7.3419374111877955,11.696809383973816,0.6447765208550603,1.2994061368214926
CUST000003,33.0,Unknown,3/4/2020,22-Oct-20,66.0,728.27,40709.825,2.0,1,961.82,0,0.0,Oppo Y82,Twitter/X,"Stable internet, happy so far.",No,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,48065.82,48065.82,-7355.995000000003,0.1530400396789205,1,6.592044033808853,10.614249306582769,-0.9349642769058059,-0.027094493839585277
CUST000004,38.0,Uasin Gishu,26/01/2023,2/2/2023,31.0,901.57,28195.03,3.0,1,79.47,0,0.0,Apple A12,Unknown,Customer care took long to respond.,Yes,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,27948.670000000002,27948.670000000002,246.35999999999694,0.008814730718849523,0,6.805246249526104,10.246936466873906,-0.39211206881225086,-0.40917063367721707
CUST000005,20.0,Uasin Gishu,13/06/2022,12/30/2022,39.0,2010.12,78564.16,3.0,1,79.03,1,0.0,Nokia C47,Radio,Sawa kabisa!,No,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,78394.68,78394.68,169.48000000001048,0.0021618813929721804,0,7.606447059797433,11.27168362315242,1.021043800528883,0.7400129959047834
CUST000006,67.02999999999997,Unknown,9/7/2021,15-Jul-24,48.0,1169.49,40709.825,2.0,0,0.0,No,1.0,Samsung S14,Unknown,Support was helpful via M-Pesa reversal.,Yes,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,56135.520000000004,56135.520000000004,-15425.695000000007,0.2747938381972721,1,7.065177743536931,10.614249306582769,0.1622269030235186,-0.027094493839585277
CUST000007,34.0,Kisumu,8/26/2019,1/29/2020,73.0,921.01,66972.15,0.0,0,0.0,1,0.0,Samsung S29,Radio,Switching from competitor soon.,No,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,67233.73,67233.73,-261.58000000000175,0.0038906066939912135,0,6.826556069484761,11.1120470717842,-0.34248190611539564,0.5432806796309261
CUST000008,11.0,Kisumu,9/13/2021,9/15/2021,48.0,3773.36,180702.52,7.0,1,55.45,1,1.0,Huawei Note11,Unknown,Network drops sometimes in the evening.,No,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,181121.28,181121.28,-418.7600000000093,0.0023120419643677817,0,8.23598611088636,12.104612956191366,1.665994708650619,1.8882114259654297
CUST000009,34.0,Uasin Gishu,12-May-25,17/04/2025,3.0,875.44,2858.71,1.0,0,0.0,No,0.0,Vivo Y29,Unknown,Please call me back.,No,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2626.32,2626.32,232.38999999999987,0.08848502848088252,0,6.77586824793948,7.958475500071314,-0.46184900390892447,-2.1982711999700197
CUST000010,42.0,Machakos,11/19/2019,20-Jul-20,70.0,3973.28,277985.91,1.0,1,53.6,1,0.0,Huawei A59,X,Support was helpful via M-Pesa reversal.,No,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,278129.60000000003,278129.60000000003,-143.69000000006054,0.0005166296575411607,0,8.287598878606564,12.535329305233242,1.7065554733304948,2.571075059229011
