customer_id,age,gender,county,signup_date,last_purchase_date,tenure_months,monthly_charges,total_charges,num_support_tickets,has_internet,data_usage_gb,is_senior_citizen,dependents,device_model,referrer,feedback_text,churn,city_Kisumu,city_Machakos,city_Meru,city_Mombasa,city_Nairobi,city_Nairobi ,city_Naivasha,city_Nakuru,city_Niarobi,city_Nrb,city_Nyeri,city_Thika,plan_type_Premium,plan_type_Standard,plan_type_basic,payment_method_Cash,payment_method_Credit card,payment_method_M-Pesa,payment_method_MPesa,payment_method_Mpesa,contract_2-yr,contract_Month-to-month,contract_One year,contract_Two year
CUST000001,40.0,Other,Nakuru,6/24/2024,7/24/2024,14.0,569.75, ,1.0,0,,1,No,Vivo A41,Friend,Please call me back.,Yes,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False
CUST000002,17.0,F,Nakuru,21-Mar-19,16-Feb-21,78.0,"1,542.70","120,186.63",4.0,Yes,33.11,1,0,Vivo A30,Billboard,App keeps logging me out.,No,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False
CUST000003,33.0,M,,3/4/2020,22-Oct-20,66.0,728.27,,2.0,Yes,961.82,0,No,Oppo Y82,Twitter/X,"Stable internet, happy so far.",No,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
CUST000004,38.0,F,Uasin Gishu,26/01/2023,2/2/2023,31.0,901.57,28195.03,3.0,TRUE,79.47,0,0,Apple A12,,Customer care took long to respond.,Yes,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
CUST000005,20.0,F,Uasin Gishu,13/06/2022,12/30/2022,39.0,2010.12,78564.16,3.0,Yes,79.03,1,No,Nokia C47,Radio,Sawa kabisa!,No,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False
CUST000006,71.0,0,,9/7/2021,15-Jul-24,48.0,1169.49,,2.0,No,0.0,No,Yes,Samsung S14,,Support was helpful via M-Pesa reversal.,Yes,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
CUST000007,,Female,Kisumu,8/26/2019,1/29/2020,73.0,921.01,66972.15,0.0,0,0.0,1,No,Samsung S29,Radio,Switching from competitor soon.,No,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
CUST000008,11.0,0,Kisumu,9/13/2021,9/15/2021,48.0,3773.36,180702.52,7.0,1,55.45,1,1,Huawei Note11,,Network drops sometimes in the evening.,No,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False
CUST000009,,Female,Uasin Gishu,12-May-25,17/04/2025,3.0,875.44,2858.71,1.0,0,0.0,No,No,Vivo Y29,,Please call me back.,No,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
CUST000010,42.0,Other,Machakos,11/19/2019,20-Jul-20,70.0,3973.28,277985.91,1.0,Y,53.6,1,No,Huawei A59,X,Support was helpful via M-Pesa reversal.,No,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False
CUST000011,43.0,F,,12/17/2019,5/17/2021,,640.48,,2.0,FALSE,0.0,Yes,Yes,Xiaomi A30,Billboard,Network drops sometimes in the evening.,No,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
CUST000012,20.0,Female,Meru,13-Jun-24,14/05/2026,14.0,878.54,"12,125.14",1.0,N,,Yes,No,Samsung S14,X,Customer care took long to respond.,No,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
CUST000013,26.0,F,Kisumu,10/11/2019,4/1/2020,71.0,1341.56,95154.49,4.0,Y,44.09,0,No,Xiaomi S9,Facebook,,No,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
CUST000014,25.0,1,Nakuru,12/21/2024,22/09/2025,8.0,1107.17, ,1.0,0,0.0,0,0,Xiaomi A49,,"Stable internet, happy so far.",No,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False
CUST000015,30.0,Female,Uasin Gishu,30/05/2020,31/05/2020,64.0,2224.08,142196.32,2.0,N,,No,Yes,Realme Y41,,"Stable internet, happy so far.",No,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True
CUST000016,28.0,Female,Mombasa,6/9/2020,5/7/2021,63.0,1574.47,99209.49,2.0,Yes,44.98,No,1,Oppo S69,Google,Great service!,Yes,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True
CUST000017,57.0,1,Meru,30/04/2024,12-Mar-25,16.0,1536.48,24401.85,1.0,0,0.0,Yes,1,Infinix C70,Twitter/X,Switching from competitor soon.,No,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False
CUST000018,31.0,F,Uasin Gishu,3/1/2025,3/4/2025,6.0,1332.15,7833.6,4.0,FALSE,0.0,No,1,Tecno Note5,Friend,Switching from competitor soon.,Yes,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False
CUST000019,42.0,Male,Nakuru,7/11/2020,11/24/2020,58.0,857.03,50000.82,0.0,No,0.0,1,No,Samsung A76,Facebook,Switching from competitor soon....,Yes,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
CUST000020,36.0,Other,Nakuru,12/1/2024,19/09/2026,9.0,946.34,8205.73,1.0,N,,0,No,Tecno Y78,Google,Great service!,No,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
CUST000021,42.0,M,Mombasa,9/30/2023,10/3/2023,23.0,816.55,18651.41,2.0,Y,14.28,0,1,Infinix Note44,,"Stable internet, happy so far.",Yes,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
CUST000022,25.0,F,Mombasa,17/05/2021,22/09/2021,52.0,1917.31,99886.02,4.0,TRUE,51.5,No,No,Oppo S60,TV,Customer care took long to respond. ASAP,No,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False
CUST000023,36.0,Other,Mombasa,3/4/2021,10/26/2021,53.0,"KES 1,885.98",,5.0,Y,59.27,No,1,Vivo A28,,Great service!,No,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False
CUST000024,28.0,1,Nyeri,30-Jun-22,10/7/2022,38.0,915.32,34793.02,2.0,Yes,48.8,1,Yes,Tecno S30,Twitter/X,,Yes,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
CUST000025,20.0,F,Meru,6/23/2023,21/01/2024,26.0,771.89,20275.23,1.0,0,0.0,1,0,Apple Note13,,Customer care took long to respond....,Yes,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
CUST000026,53.0,0,Nakuru,11/30/2023,6/18/2024,21.0,"KES 1,067.84",,4.0,TRUE,14.3,0,No,Tecno S30,,Network drops sometimes in the evening.,No,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False
CUST000027,20.0,F,Kisumu,20-Oct-24,21/11/2024,10.0,1868.12,,1.0,TRUE,45.55,No,,Apple Y34,Friend,NA (pls),No,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False
CUST000028,39.0,1,Nakuru,10/5/2020,5/5/2020,64.0,1102.79, ,2.0,No,0.0,1,No,Infinix P1,,Please call me back.,No,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
CUST000029,27.0,Other,Nakuru,10/12/2021,26/04/2022,47.0,1159.54,54537.96,3.0,Yes,34.7,0,Yes,Tecno A12,Google,,No,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,True,False,False
CUST000030,34.0,Female,Uasin Gishu,7/9/2021,1/11/2022,50.0,618.77,31017.66,2.0,1,33.78,0,1,Realme Y41,,Sawa kabisa!,No,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False
CUST000031,15.0,Male,Nairobi,9/20/2019,18/12/2019,72.0,1051.7,,3.0,N,,1,Yes,Apple P45,Facebook,,No,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True
CUST000032,23.0,Male,Uasin Gishu,16-Oct-22,13/12/2022,35.0,607.84,21475.43,2.0,N,,0,Yes,Tecno A72,Twitter/X,Customer care took long to respond.!!!,No,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False
CUST000033,31.0,F,Nairobi,8/6/2025,8/8/2025,0.0,, ,3.0,Y,18.07,No,0,Infinix P1,Billboard,,Yes,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
CUST000034,33.0,M,Machakos,18-Mar-25,27/01/2026,5.0,805.49,4104.24,3.0,Yes,25.74,No,No,Huawei Y16,TV,Please call me back.,Yes,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
