age,county,signup_date,last_purchase_date,tenure_months,monthly_charges,total_charges,num_support_tickets,has_internet,data_usage_gb,is_senior_citizen,dependents,device_model,referrer,feedback_text,churn,gender_Male,gender_Unknown,city_Kisumu,city_Machakos,city_Meru,city_Mombasa,city_Nairobi,city_Nairobi ,city_Naivasha,city_Nakuru,city_Nyeri,city_Thika,city_Unknown,plan_type_Premium,plan_type_Standard,plan_type_Unknown,plan_type_basic,payment_method_Cash,payment_method_Credit card,payment_method_M-Pesa,payment_method_M-pesa,payment_method_MPesa,payment_method_Unknown,contract_one year,contract_two year,contract_unknown
40.0,Nakuru,6/24/2024,7/24/2024,14.0,569.75,40709.825,1.0,0,26.1,1,0.0,Vivo A41,Friend,Please call me back.,Yes,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
17.0,Nakuru,21-Mar-19,16-Feb-21,78.0,1542.7,120186.63,4.0,1,33.11,1,0.0,Vivo A30,Billboard,App keeps logging me out.,No,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
33.0,Unknown,3/4/2020,22-Oct-20,66.0,728.27,40709.825,2.0,1,961.82,0,0.0,Oppo Y82,Twitter/X,"Stable internet, happy so far.",No,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
38.0,Uasin Gishu,26/01/2023,2/2/2023,31.0,901.57,28195.03,3.0,1,79.47,0,0.0,Apple A12,Unknown,Customer care took long to respond.,Yes,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
20.0,Uasin Gishu,13/06/2022,12/30/2022,39.0,2010.12,78564.16,3.0,1,79.03,1,0.0,Nokia C47,Radio,Sawa kabisa!,No,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
71.0,Unknown,9/7/2021,15-Jul-24,48.0,1169.49,40709.825,2.0,0,0.0,No,1.0,Samsung S14,Unknown,Support was helpful via M-Pesa reversal.,Yes,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
34.0,Kisumu,8/26/2019,1/29/2020,73.0,921.01,66972.15,0.0,0,0.0,1,0.0,Samsung S29,Radio,Switching from competitor soon.,No,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
11.0,Kisumu,9/13/2021,9/15/2021,48.0,3773.36,180702.52,7.0,1,55.45,1,1.0,Huawei Note11,Unknown,Network drops sometimes in the evening.,No,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
34.0,Uasin Gishu,12-May-25,17/04/2025,3.0,875.44,2858.71,1.0,0,0.0,No,0.0,Vivo Y29,Unknown,Please call me back.,No,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
42.0,Machakos,11/19/2019,20-Jul-20,70.0,3973.28,277985.91,1.0,1,53.6,1,0.0,Huawei A59,X,Support was helpful via M-Pesa reversal.,No,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
43.0,Unknown,12/17/2019,5/17/2021,39.0,640.48,40709.825,2.0,0,0.0,Yes,1.0,Xiaomi A30,Billboard,Network drops sometimes in the evening.,No,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
20.0,Meru,13-Jun-24,14/05/2026,14.0,878.54,12125.14,1.0,0,26.1,Yes,0.0,Samsung S14,X,Customer care took long to respond.,No,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
26.0,Kisumu,10/11/2019,4/1/2020,71.0,1341.56,95154.49,4.0,1,44.09,0,0.0,Xiaomi S9,Facebook,Unknown,No,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
25.0,Nakuru,12/21/2024,22/09/2025,8.0,1107.17,40709.825,1.0,0,0.0,0,0.0,Xiaomi A49,Unknown,"Stable internet, happy so far.",No,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0
30.0,Uasin Gishu,30/05/2020,31/05/2020,64.0,2224.08,142196.32,2.0,0,26.1,No,1.0,Realme Y41,Unknown,"Stable internet, happy so far.",No,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
28.0,Mombasa,6/9/2020,5/7/2021,63.0,1574.47,99209.49,2.0,1,44.98,No,1.0,Oppo S69,Google,Great service!,Yes,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
57.0,Meru,30/04/2024,12-Mar-25,16.0,1536.48,24401.85,1.0,0,0.0,Yes,1.0,Infinix C70,Twitter/X,Switching from competitor soon.,No,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
31.0,Uasin Gishu,3/1/2025,3/4/2025,6.0,1332.15,7833.6,4.0,0,0.0,No,1.0,Tecno Note5,Friend,Switching from competitor soon.,Yes,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
42.0,Nakuru,7/11/2020,11/24/2020,58.0,857.03,50000.82,0.0,0,0.0,1,0.0,Samsung A76,Facebook,Switching from competitor soon....,Yes,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
36.0,Nakuru,12/1/2024,19/09/2026,9.0,946.34,8205.73,1.0,0,26.1,0,0.0,Tecno Y78,Google,Great service!,No,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
42.0,Mombasa,9/30/2023,10/3/2023,23.0,816.55,18651.41,2.0,1,14.28,0,1.0,Infinix Note44,Unknown,"Stable internet, happy so far.",Yes,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
